weight_class,f1_reach,f1_stance,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_stance,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height
10,76.0,2,1.3,23,1.08,61,170.0,78.0,2,0.6,46,0.95,71,170.0,14,3,0,12,3,0,29,28,72,75
2,73.0,2,0.3,55,2.16,50,145.0,66.0,2,0.3,55,4.13,100,145.0,17,4,0,18,5,0,30,33,70,66
11,68.0,4,0.8,65,2.77,42,145.0,68.0,2,1.1,100,0.35,51,135.0,10,4,0,9,5,1,36,41,66,66
0,69.0,2,0.1,28,0.28,86,135.0,67.0,2,0.1,20,0.52,73,135.0,24,13,1,22,8,1,34,29,67,66
2,71.0,2,0.4,34,2.16,72,145.0,71.0,2,1.3,35,2.52,58,145.0,21,1,0,25,8,0,30,34,66,70
3,66.0,4,0.5,63,3.42,82,125.0,70.0,2,0.0,9,0.86,100,135.0,11,5,0,13,1,0,26,26,67,68
2,67.0,2,1.0,71,2.46,75,135.0,70.0,2,0.7,36,0.97,45,155.0,14,1,0,17,7,0,31,32,67,71
13,64.0,2,0.0,50,0.25,75,125.0,66.0,2,0.3,51,2.57,65,125.0,17,6,1,13,7,0,30,34,64,66
3,65.0,2,0.3,17,0.77,42,135.0,67.0,4,1.4,14,0.68,33,125.0,11,3,0,6,2,0,24,26,66,65
14,64.0,2,0.0,21,0.75,83,115.0,63.0,2,0.2,25,0.94,50,115.0,6,6,0,20,8,0,32,36,61,63
5,76.0,2,0.8,26,0.41,51,205.0,76.0,2,0.8,48,2.17,47,205.0,32,14,0,26,11,1,30,37,76,73
5,76.0,2,1.0,38,2.0,60,205.0,79.0,2,0.0,50,4.98,83,205.0,30,7,0,14,4,0,39,29,74,75
7,76.0,2,0.0,100,1.0,25,185.0,77.0,2,0.2,55,0.95,50,185.0,14,1,1,13,7,0,32,39,69,73
4,84.0,2,1.7,50,0.58,55,265.0,78.0,2,0.1,61,1.48,81,249.0,33,12,0,17,6,0,30,33,83,75
10,74.0,4,0.4,6,0.18,53,170.0,75.0,2,3.3,22,0.94,60,170.0,17,5,0,17,5,0,31,28,73,72
6,73.0,2,0.0,40,2.5,64,155.0,72.0,4,0.0,25,0.3,78,155.0,14,3,0,11,2,0,25,23,70,70
6,70.0,2,0.2,60,0.68,40,155.0,66.0,4,0.0,33,0.86,83,155.0,13,5,0,14,5,0,32,34,69,66
10,74.0,5,1.3,50,0.33,48,170.0,75.0,2,0.0,70,7.17,80,170.0,9,4,1,14,3,0,30,32,71,72
2,70.0,2,0.0,41,2.64,75,145.0,69.0,2,0.5,0,0.0,63,135.0,12,3,0,14,2,0,31,26,68,65
5,80.0,2,0.3,50,0.32,40,205.0,78.0,2,0.0,60,1.29,88,205.0,9,2,0,12,1,0,30,26,76,76
0,71.0,2,3.1,54,3.06,0,145.0,69.0,0,0.0,47,2.64,64,135.0,14,2,0,11,4,0,24,33,70,68
5,72.0,5,0.0,20,1.41,50,205.0,76.0,2,0.0,38,2.26,83,205.0,15,8,0,13,3,0,27,26,72,72
0,72.0,2,1.4,20,0.34,55,135.0,70.0,2,0.6,35,2.64,43,135.0,13,6,0,10,6,0,25,28,66,65
6,69.0,2,0.5,36,2.92,92,155.0,72.0,4,1.2,37,1.55,61,155.0,29,6,0,25,6,0,34,29,69,69
2,70.0,2,0.1,65,0.64,91,135.0,71.0,2,0.4,38,1.18,65,145.0,28,6,0,28,17,0,32,32,67,69
14,60.0,2,0.1,14,0.67,52,115.0,65.0,2,0.1,62,0.3,81,125.0,10,5,0,16,3,0,29,31,61,66
6,72.0,2,0.0,30,1.52,57,155.0,70.0,4,0.5,33,2.36,70,155.0,11,2,0,12,5,0,26,29,69,69
10,72.0,2,0.6,0,0.0,31,170.0,73.0,2,0.2,58,1.56,66,170.0,17,5,0,31,12,0,28,29,71,72
2,73.0,2,0.0,0,0.0,85,145.0,72.0,2,0.2,18,0.44,57,145.0,11,1,1,16,6,0,27,27,68,72
6,75.0,2,0.2,37,1.54,62,155.0,70.0,2,0.8,68,3.4,93,155.0,23,14,1,18,1,0,34,27,71,70
5,75.0,4,0.0,71,2.62,80,205.0,70.0,2,3.5,41,8.7,0,205.0,15,4,0,20,6,0,25,31,73,71
6,69.0,2,0.0,35,0.74,75,155.0,68.0,2,0.0,0,0.0,87,155.0,22,16,0,17,6,0,34,33,68,68
13,68.0,2,0.1,0,0.0,56,125.0,68.0,2,0.8,33,0.74,32,125.0,13,2,0,19,10,0,30,34,69,66
3,66.0,0,1.6,66,1.9,100,125.0,65.0,2,0.1,36,3.01,52,125.0,13,3,1,19,8,0,25,30,66,65
14,64.0,2,0.6,40,0.29,77,115.0,63.0,2,0.3,27,1.38,57,115.0,10,6,0,10,8,1,33,33,65,64
6,74.0,0,1.1,0,0.0,33,155.0,73.0,2,0.6,0,0.0,0,155.0,9,6,0,9,4,0,28,30,72,72
0,67.0,2,1.0,37,1.68,86,125.0,65.0,2,0.0,33,0.94,100,135.0,17,4,0,11,3,0,32,27,66,68
3,66.0,2,0.5,56,3.35,65,125.0,64.0,2,0.2,35,2.16,90,135.0,27,3,1,15,2,0,32,31,63,64
2,72.0,2,0.4,54,1.16,76,145.0,70.0,2,0.5,50,1.06,60,145.0,13,3,1,26,11,0,29,35,71,68
14,67.0,2,1.3,37,1.29,50,115.0,67.0,4,0.0,25,0.36,53,125.0,10,4,0,8,3,0,26,26,65,65
7,76.0,2,0.1,40,0.83,68,205.0,81.0,2,1.1,43,1.27,48,185.0,21,7,0,16,5,0,34,26,74,75
0,71.0,2,0.5,48,3.72,78,135.0,65.0,2,1.1,21,0.92,81,135.0,15,2,0,18,4,0,26,32,67,66
0,69.0,2,0.2,49,6.53,71,135.0,75.0,4,0.3,88,2.73,65,135.0,15,3,0,8,1,0,26,26,66,70
0,73.0,2,1.2,64,2.46,71,135.0,72.0,2,0.7,64,2.13,75,135.0,16,8,0,14,2,0,31,23,69,69
2,72.0,2,0.0,0,0.0,53,145.0,68.0,2,0.4,0,0.0,81,145.0,11,4,0,8,3,0,28,24,68,67
3,65.0,2,0.0,33,1.28,75,125.0,65.0,2,1.2,47,3.13,87,135.0,8,1,0,22,5,0,26,26,64,66
14,63.0,5,0.9,30,1.75,100,115.0,60.0,2,0.2,20,0.2,70,115.0,20,1,0,9,4,0,29,29,64,60
0,69.0,2,0.4,42,3.38,71,135.0,70.0,5,1.4,38,0.76,68,135.0,10,7,0,15,5,1,29,26,69,68
6,70.0,2,0.0,0,0.0,80,155.0,76.0,2,0.7,33,0.26,57,155.0,21,2,0,13,5,0,30,31,71,75
2,74.0,2,0.2,46,2.44,69,145.0,73.0,4,0.1,45,0.52,78,155.0,20,6,0,20,15,0,28,32,71,70
14,67.0,2,0.5,30,0.35,38,115.0,64.0,2,0.1,36,0.39,73,115.0,8,7,0,10,7,0,31,33,67,63
10,71.0,2,0.4,47,2.04,86,170.0,72.0,4,0.3,33,0.26,47,170.0,31,15,0,14,7,0,33,29,69,72
3,68.0,2,2.4,47,1.78,59,125.0,66.0,2,1.1,23,0.62,44,125.0,17,1,0,19,7,0,31,34,65,66
7,76.0,2,0.0,40,1.81,100,185.0,75.0,4,0.1,40,1.51,76,205.0,15,5,0,13,4,0,32,31,74,73
10,73.0,2,0.6,18,1.06,50,170.0,72.0,2,1.0,52,1.39,75,170.0,26,8,0,14,4,0,32,27,74,71
0,71.0,4,0.8,62,1.44,60,135.0,70.0,5,0.6,50,1.24,27,135.0,35,10,0,12,1,0,38,26,69,71
7,74.0,2,0.0,33,2.25,100,185.0,73.0,2,1.1,26,1.08,80,185.0,12,5,0,11,3,0,30,30,73,73
10,73.0,2,0.7,20,1.37,38,170.0,74.0,5,2.7,38,1.5,44,170.0,17,7,0,6,2,0,37,26,72,74
13,65.0,2,0.5,56,1.85,55,125.0,67.0,5,0.7,66,1.31,20,125.0,14,4,0,18,8,1,33,32,66,67
6,73.0,2,1.0,33,0.42,50,155.0,70.0,4,0.1,17,0.96,62,155.0,10,5,0,21,9,0,34,30,71,68
0,67.0,2,2.1,32,2.92,22,135.0,67.0,4,0.4,25,0.37,70,135.0,26,10,0,13,3,0,34,33,66,66
8,77.0,2,0.0,0,0.0,0,216.0,73.0,4,0.8,0,0.0,66,175.0,2,2,0,14,2,3,34,27,77,73
8,71.0,4,0.0,0,0.0,0,190.0,74.0,0,0.0,0,0.0,0,185.0,33,21,1,0,4,0,24,0,71,74
8,72.0,2,2.5,60,0.94,44,205.0,73.0,4,0.8,0,0.0,66,175.0,28,16,2,14,2,3,29,27,73,73
8,77.0,2,0.0,0,0.0,0,216.0,76.0,2,0.0,0,0.0,0,275.0,2,2,0,2,6,0,34,0,77,76
8,74.0,2,0.0,0,0.0,0,225.0,72.0,2,2.5,60,0.94,44,205.0,20,15,0,28,16,2,30,29,74,73
8,73.0,4,0.8,0,0.0,66,175.0,73.0,2,0.0,0,0.0,0,196.0,14,2,3,0,1,0,27,30,73,73
8,77.0,2,0.0,0,0.0,0,250.0,76.0,2,0.0,0,0.0,0,275.0,4,11,0,2,6,0,0,0,77,76
8,77.0,2,0.0,0,0.0,0,216.0,72.0,2,0.0,0,0.0,0,430.0,2,2,0,0,1,0,34,24,77,72
8,74.0,2,0.0,0,0.0,0,225.0,73.0,4,0.8,0,0.0,66,175.0,20,15,0,14,2,3,31,28,74,73
8,73.0,4,0.8,0,0.0,66,175.0,75.0,4,0.0,0,0.0,0,260.0,14,2,3,9,6,1,28,0,73,75
