weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,f1_win_rate,f2_win_rate
3,71.0,2.5,2.16,4,41,50,1.2,43,3.03,41,125.0,68.0,3.53,1.44,2,42,53,0.8,66,0.55,51,125.0,21,6,2,7,5,0,29,30,70,65,0.7241379310344828,0.5833333333333334
13,66.0,4.0,4.03,0,41,62,0.0,0,0.0,100,125.0,72.0,4.74,4.49,2,33,59,0.0,0,0.0,40,125.0,4,4,2,9,2,2,31,29,66,67,0.4,0.6923076923076923
7,80.0,2.6,4.46,5,50,66,0.4,0,0.0,85,185.0,74.0,2.76,3.0,2,40,55,0.0,27,1.03,77,185.0,18,0,0,17,7,0,29,31,76,73,1.0,0.7083333333333334
6,74.0,2.8,1.93,4,38,40,0.0,16,1.0,0,155.0,71.0,2.11,3.02,2,53,63,0.8,50,0.4,80,155.0,7,1,0,9,1,0,23,27,72,71,0.875,0.9
2,64.0,2.98,3.33,2,51,57,0.0,22,1.25,47,135.0,67.0,4.73,0.93,2,21,36,0.0,0,0.0,71,155.0,9,2,0,9,1,0,27,32,66,67,0.8181818181818182,0.9
2,71.0,5.72,7.66,4,39,51,0.0,35,2.6,85,145.0,73.0,2.86,3.98,4,48,64,0.8,75,0.53,58,145.0,12,3,0,15,12,0,25,30,68,70,0.8,0.5555555555555556
13,69.0,5.31,3.3,0,31,54,0.1,20,1.51,41,125.0,65.0,4.67,4.04,0,30,66,1.3,0,0.0,0,125.0,23,17,0,10,5,0,36,39,67,64,0.575,0.6666666666666666
7,75.0,3.33,3.8,2,40,53,3.0,0,0.0,52,185.0,74.0,3.22,3.2,2,42,62,0.0,50,1.95,83,185.0,7,2,0,12,4,0,28,29,74,72,0.7777777777777778,0.75
13,68.0,3.28,2.49,0,31,47,2.3,33,2.69,50,125.0,62.0,3.28,2.32,2,43,59,1.3,100,3.28,100,125.0,10,5,0,4,5,0,23,27,67,63,0.6666666666666666,0.4444444444444444
6,68.0,2.26,1.98,2,77,65,0.0,66,8.49,0,155.0,75.0,2.74,3.7,4,45,52,1.0,31,1.25,47,155.0,3,1,1,7,2,0,27,25,69,75,0.6,0.7777777777777778
6,72.0,3.72,1.65,2,37,46,0.0,42,7.08,0,155.0,70.0,1.8,3.93,2,52,61,1.0,0,0.0,57,155.0,7,2,0,13,2,0,33,26,69,67,0.7777777777777778,0.8666666666666667
2,69.0,2.53,3.4,2,47,44,0.0,75,3.0,70,145.0,70.0,1.81,1.78,4,50,59,1.8,28,1.75,33,145.0,9,2,0,12,1,0,27,24,67,70,0.8181818181818182,0.9230769230769231
2,70.0,5.89,4.65,2,35,56,0.4,28,2.02,75,145.0,70.0,4.45,4.36,2,41,58,0.3,28,0.64,61,145.0,18,9,0,22,9,0,28,34,70,70,0.6666666666666666,0.7096774193548387
7,76.0,3.04,3.19,4,55,54,1.9,50,0.76,41,185.0,77.0,3.25,2.73,4,42,52,1.8,41,2.56,46,185.0,11,3,1,29,12,0,28,31,72,73,0.7333333333333333,0.7073170731707317
4,72.0,2.75,4.25,2,52,56,0.5,44,1.95,77,235.0,80.0,3.69,4.95,2,52,56,0.0,37,2.2,73,240.0,22,2,0,19,3,0,39,36,71,76,0.9166666666666666,0.8636363636363636
