f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
71.0,3.14,6.15,2,57,59,0.4,34,2.16,72,71.0,2.8,3.27,2,36,53,1.3,35,2.52,58,21,1,25,8,30,34
66.0,2.16,3.56,4,51,55,0.5,63,3.42,82,70.0,1.95,4.69,2,59,64,0.0,9,0.86,100,11,5,13,1,26,26
67.0,4.85,5.77,2,53,63,1.0,71,2.46,75,70.0,4.28,4.51,2,42,46,0.7,36,0.97,45,14,1,17,7,31,32
64.0,3.78,4.05,2,38,53,0.0,50,0.25,75,66.0,2.51,2.78,2,54,61,0.3,51,2.57,65,17,6,13,7,30,34
65.0,4.04,3.05,2,36,53,0.3,17,0.77,42,67.0,5.05,1.59,4,27,50,1.4,14,0.68,33,11,3,6,2,24,26
64.0,7.37,4.1,2,31,52,0.0,21,0.75,83,63.0,7.19,4.93,2,50,53,0.2,25,0.94,50,6,6,20,8,32,36
76.0,4.28,3.06,2,47,44,0.8,26,0.41,51,76.0,2.68,3.63,2,50,55,0.8,48,2.17,47,32,14,26,11,30,37
76.0,3.84,3.41,2,44,54,1.0,38,2.0,60,79.0,2.18,4.45,2,46,59,0.0,50,4.98,83,30,7,14,4,39,29
76.0,1.27,3.2,2,37,57,0.0,100,1.0,25,77.0,2.95,2.98,2,45,58,0.2,55,0.95,50,14,1,13,7,32,39
84.0,4.0,3.13,2,47,46,1.7,50,0.58,55,78.0,3.2,3.61,2,51,52,0.1,61,1.48,81,33,12,17,6,30,33
74.0,3.08,3.41,4,44,55,0.4,6,0.18,53,75.0,4.32,3.38,2,41,56,3.3,22,0.94,60,17,5,17,5,31,28
73.0,2.41,2.86,2,37,58,0.0,40,2.5,64,72.0,3.2,5.24,4,46,75,0.0,25,0.3,78,14,3,11,2,25,23
70.0,3.0,3.0,2,46,66,0.2,60,0.68,40,66.0,3.61,2.65,4,35,59,0.0,33,0.86,83,13,5,14,5,32,34
74.0,2.64,2.24,5,38,32,1.3,50,0.33,48,75.0,1.35,2.22,2,70,53,0.0,70,7.17,80,9,4,14,3,30,32
70.0,2.8,3.8,2,43,60,0.0,41,2.64,75,69.0,2.29,2.64,2,50,45,0.5,0,0.0,63,12,3,14,2,31,26
80.0,4.46,3.45,2,41,48,0.3,50,0.32,40,78.0,1.63,5.25,2,52,50,0.0,60,1.29,88,9,2,12,1,30,26
71.0,2.68,2.92,2,61,46,3.1,54,3.06,0,69.0,1.68,3.13,0,52,65,0.0,47,2.64,64,14,2,11,4,24,33
72.0,3.84,2.81,5,46,49,0.0,20,1.41,50,76.0,2.83,2.86,2,46,59,0.0,38,2.26,83,15,8,13,3,27,26
72.0,3.55,2.6,2,31,54,1.4,20,0.34,55,70.0,3.1,1.86,2,36,52,0.6,35,2.64,43,13,6,10,6,25,28
69.0,4.39,4.32,2,41,55,0.5,36,2.92,92,72.0,3.97,5.51,4,49,56,1.2,37,1.55,61,29,6,25,6,34,29
70.0,3.18,3.47,2,44,65,0.1,65,0.64,91,71.0,2.98,3.09,2,40,58,0.4,38,1.18,65,28,6,28,17,32,32
60.0,3.46,4.04,2,47,62,0.1,14,0.67,52,65.0,2.73,6.18,2,47,65,0.1,62,0.3,81,10,5,16,3,29,31
72.0,3.25,3.07,2,41,50,0.0,30,1.52,57,70.0,2.97,2.48,4,51,55,0.5,33,2.36,70,11,2,12,5,26,29
72.0,3.02,4.42,2,39,61,0.6,0,0.0,31,73.0,2.55,3.35,2,44,69,0.2,58,1.56,66,17,5,31,12,28,29
73.0,2.31,5.28,2,46,64,0.0,0,0.0,85,72.0,6.38,4.52,2,41,62,0.2,18,0.44,57,11,1,16,6,27,27
