weight_class,f1_reach,f1_stance,f1_weight,f2_reach,f2_stance,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,slpm_diff,sapm_diff,stk_atk_diff,stk_def_diff,stk_acc_diff,td_acc_diff,td_def_diff
2,70.0,2,145.0,70.0,2,145.0,18,9,0,22,9,0,28,34,70,70,0.29000000000000004,1.4399999999999995,-6,-2,-6,0,14
7,76.0,4,185.0,77.0,4,185.0,11,3,1,29,12,0,28,31,72,73,0.45999999999999996,-0.20999999999999996,13,2,13,9,-5
4,72.0,2,235.0,80.0,2,240.0,22,2,0,19,3,0,39,36,71,76,-0.7000000000000002,-0.94,0,0,0,7,4
4,83.0,2,250.0,79.0,2,260.0,14,3,0,22,7,0,32,33,76,75,-0.48,-0.32000000000000006,-12,4,-12,-25,18
10,71.0,2,170.0,70.0,2,155.0,13,6,0,17,4,0,27,34,70,71,0.7199999999999998,1.33,4,7,4,14,11
6,75.0,4,170.0,72.0,2,170.0,16,4,0,22,9,0,31,31,73,70,-0.6900000000000004,-1.3900000000000001,-5,-2,-5,-6,8
5,76.0,4,205.0,73.0,2,205.0,9,4,0,1,2,0,28,35,73,72,-4.08,-1.7200000000000002,-18,-6,-18,0,-54
7,79.0,2,185.0,72.0,0,185.0,16,9,0,13,0,0,34,27,72,73,-5.119999999999999,-3.27,-7,0,-7,38,-11
0,66.0,2,135.0,71.0,2,135.0,27,7,0,17,4,0,36,31,65,68,-1.7900000000000005,-1.54,0,5,0,2,30
6,71.0,2,155.0,70.0,2,155.0,10,4,2,11,1,1,26,30,69,69,0.43000000000000016,1.0299999999999994,-10,0,-10,12,-6
10,76.0,2,170.0,76.0,2,170.0,17,5,0,15,7,0,31,33,74,71,-0.3599999999999999,-1.1600000000000001,-3,5,-3,46,-6
6,71.0,2,155.0,75.0,5,155.0,17,3,0,20,8,0,32,28,70,72,-1.6400000000000006,-1.67,-1,2,-1,5,-28
14,63.0,0,115.0,65.0,2,115.0,4,3,0,4,3,0,27,29,65,61,-1.67,-1.0499999999999998,-20,-10,-20,45,16
4,73.0,4,250.0,77.0,2,238.0,18,3,0,21,6,0,32,34,71,76,-1.67,0.8400000000000003,-10,-3,-10,7,-5
10,71.0,2,170.0,72.0,2,170.0,11,2,0,17,7,0,22,32,72,71,0.9500000000000002,-0.77,16,0,16,5,-16
2,66.0,2,155.0,70.0,4,145.0,18,9,0,21,6,1,32,29,66,72,0.11000000000000032,-1.2200000000000002,4,6,4,27,16
