weight_class,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,win_rate_diff
0,66.0,2.35,3.32,2,41,68,0.3,38,1.54,80,135.0,71.0,3.89,5.11,2,41,63,0.8,36,1.25,50,135.0,27,7,0,17,4,0,36,31,65,68,-0.01540616246498605
6,71.0,4.77,4.41,2,42,54,0.5,42,1.35,62,155.0,70.0,3.74,3.98,2,52,54,0.0,30,1.67,68,155.0,10,4,2,11,1,1,26,30,69,69,-0.22115384615384615
10,76.0,2.95,3.86,2,46,61,0.0,100,0.43,57,170.0,76.0,4.11,4.22,2,49,56,0.6,54,1.89,63,170.0,17,5,0,15,7,0,31,33,74,71,0.09090909090909094
6,71.0,3.05,3.09,2,43,57,0.7,38,2.43,50,155.0,75.0,4.72,4.73,5,44,55,0.4,33,0.4,78,155.0,17,3,0,20,8,0,32,28,70,72,0.13571428571428568
14,63.0,2.95,2.84,0,31,55,0.6,66,1.18,66,115.0,65.0,4.0,4.51,2,51,65,0.0,21,1.0,50,115.0,4,3,0,4,3,0,27,29,65,61,0.0
4,73.0,3.93,3.09,4,38,55,0.2,62,1.07,75,250.0,77.0,3.09,4.76,2,48,58,0.1,55,0.33,80,238.0,18,3,0,21,6,0,32,34,71,76,0.0793650793650793
10,71.0,1.96,3.58,2,52,58,0.6,34,1.81,41,170.0,72.0,2.73,2.63,2,36,58,0.4,29,0.97,57,170.0,11,2,0,17,7,0,22,32,72,71,0.13782051282051277
2,66.0,3.07,4.42,2,46,59,1.1,40,3.89,82,155.0,70.0,4.29,4.31,4,42,53,0.3,13,0.67,66,145.0,18,9,0,21,6,1,32,29,66,72,-0.08333333333333337
10,76.0,4.46,3.06,2,34,51,1.3,23,1.08,61,170.0,78.0,2.42,3.41,2,47,55,0.6,46,0.95,71,170.0,14,3,0,12,3,0,29,28,72,75,0.0235294117647058
2,73.0,2.16,2.94,2,42,66,0.3,55,2.16,50,145.0,66.0,2.35,2.78,2,49,67,0.3,55,4.13,100,145.0,17,4,0,18,5,0,30,33,70,66,0.026915113871635588
